date,_Unemployment_Rate_%,_Exports_in_Billions_of_US_$,_Exports_%_of_GDP,_FDI_Inflows,_FDI_%_change,_GDP_in_Billions_of_US_$,GDP_per_capita,GDP__Annual_%_Change,_GDP_Growth_%,_GNI_in__Billions_of_US_$,__GNI_Per_Capita,__GNI_Growth_Rate,_Hunger_stats_%_of_Population,_Imports_in_Billions_of_US_$,Imports__%_of_GDP,_Inflation_Rate_%,_Life_Expectancy_from_Birth_Years,_%_Under_US_$5.50_Per_Day,_Tourism_Spending_$,Tourism_%_of_Exports,_Trade_%_of_GDP
1991-12-31,6.838,22.94339807,8.4942,0.073537638,0.0272,270.1053419,303.8504,1.0568,1.0568,308.5807799,350,0.8649,0.0,22.94135881,8.4935,13.8702,58.148,0.0,0,0.0,16.9877
1992-12-31,6.838,25.48602905,8.8429,0.276512439,0.0959,288.2080703,317.5587,5.4824,5.4824,312.5096952,340,5.4977,0.0,27.63964999,9.5902,11.7878,58.634,0.0,0,0.0,18.4331
1993-12-31,6.838,27.46654146,9.8342,0.550370025,0.1971,279.295649,301.5008,4.7508,4.7508,300.6327834,320,4.8423,0.0,27.41935412,9.8173,6.3269,59.12,96.7,0,0.0,19.6515
1994-12-31,6.83,32.36128761,9.8881,0.973271469,0.2974,327.2755835,346.2274,6.6589,6.6589,322.7461339,340,6.7921,0.0,33.34957656,10.1901,10.2479,59.59,0.0,0,0.0,20.0781
1995-12-31,6.998,39.06885512,10.844,2.14362811,0.595,360.2819096,373.6282,7.5745,7.5745,354.31651,370,7.7676,0.0,43.31842577,12.0235,10.2249,60.06,0.0,0,0.0,22.8674
1996-12-31,7.165,40.80300462,10.3852,2.426057022,0.6175,392.8968662,399.5773,7.5495,7.5495,395.2711741,400,7.6943,0.0,45.357266,11.5443,8.9772,60.53,0.0,0,0.0,21.9295
1997-12-31,7.339,44.45922564,10.6907,3.577330042,0.8602,415.8675636,414.8987,4.0498,4.0498,409.8994694,410,4.1411,0.0,49.60746742,11.9287,7.1643,61.0,0.0,0,0.0,22.6194
1998-12-31,7.511,46.42646503,11.0185,2.634651658,0.6253,421.3513172,412.5094,6.1844,6.1844,420.1531195,410,6.193,0.0,53.43156433,12.681,13.2308,61.47,0.0,0,0.0,23.6995
1999-12-31,7.68,52.54441065,11.4521,2.168591054,0.4726,458.8204173,440.9615,8.8458,8.8458,454.3968415,440,8.9644,0.0,61.31461986,13.3635,4.6698,61.876,0.0,0,0.0,24.8156
2000-12-31,7.85,60.87839687,12.9972,3.584217307,0.7652,468.3949373,442.0348,3.841,3.841,467.0820967,440,3.5368,0.0,65.12416412,13.9037,4.0094,62.282,0.0,3598000000,6.0035,26.9009
2001-12-31,8.022,60.9635255,12.5584,5.128093562,1.0564,485.4410145,449.9111,4.824,4.824,485.44259,450,5.0541,18.3,65.21839408,13.4349,3.7793,62.688,0.0,3342000000,5.379,25.9933
