date, FDI Inflows, FDI % change, 
31-12-1960,0,0,
31-12-1961,0,0,
31-12-1962,0,0,
31-12-1963,0,0,
31-12-1964,0,0,
31-12-1965,0,0,
31-12-1966,0,0,
31-12-1967,0,0,
31-12-1968,0,0,
31-12-1969,0,0,
31-12-1970,0.04546,0.0728,
31-12-1971,0.04766,0.0708,
31-12-1972,0.01779,0.0249,
31-12-1973,0.03791,0.0443,
31-12-1974,0.05697,0.0572,
31-12-1975,-0.010326247,-0.0105,
31-12-1976,-0.007706431,-0.0075,
31-12-1977,-0.03606,-0.0297,
31-12-1978,0.01809,0.0132,
31-12-1979,0.04857,0.0317,
31-12-1980,0.07916,0.0425,
31-12-1981,0.09192,0.0475,
31-12-1982,0.07208,0.0359,
31-12-1983,0.00564,0.0026,
31-12-1984,0.01924,0.0091,
31-12-1985,0.10609,0.0456,
31-12-1986,0.11773,0.0473,
31-12-1987,0.21232,0.0761,
31-12-1988,0.09125,0.0308,
31-12-1989,0.2521,0.0852,
31-12-1990,0.23669,0.0737,
31-12-1991,0.073537638,0.0272,
31-12-1992,0.276512439,0.0959,
31-12-1993,0.550370025,0.1971,
31-12-1994,0.973271469,0.2974,
31-12-1995,2.14362811,0.595,
31-12-1996,2.426057022,0.6175,
31-12-1997,3.577330042,0.8602,
31-12-1998,2.634651658,0.6253,
31-12-1999,2.168591054,0.4726,
31-12-2000,3.584217307,0.7652,
31-12-2001,5.128093562,1.0564,
31-12-2002,5.208967106,1.0116,
31-12-2003,3.681984671,0.6059,
31-12-2004,5.42925099,0.7656,
31-12-2005,7.269407226,0.8861,
31-12-2006,20.02911927,2.1302,
31-12-2007,25.22774089,2.0734,
31-12-2008,43.40627708,3.6205,
31-12-2009,35.58137293,2.6516,
31-12-2010,27.39688503,1.635,
31-12-2011,36.4986546,2.0021,
31-12-2012,23.99568501,1.3129,
31-12-2013,28.15303127,1.5163,
31-12-2014,34.57664369,1.6957,
31-12-2015,44.00949213,2.0921,
31-12-2016,44.45857155,1.9374,
31-12-2017,39.96609136,1.5073,
31-12-2018,42.11745074,1.5582,
31-12-2019,50.61064735,1.7848,
31-12-2020,64.36236499,2.4091,
31-12-2021,44.72727756,1.4198,
31-12-2022,49.9402584,1.4617,
