date, % Under US $5.50 Per Day, 
31-12-1960,0,
31-12-1961,0,
31-12-1962,0,
31-12-1963,0,
31-12-1964,0,
31-12-1965,0,
31-12-1966,0,
31-12-1967,0,
31-12-1968,0,
31-12-1969,0,
31-12-1970,0,
31-12-1971,0,
31-12-1972,0,
31-12-1973,0,
31-12-1974,0,
31-12-1975,0,
31-12-1976,0,
31-12-1977,97.8,
31-12-1978,0,
31-12-1979,0,
31-12-1980,0,
31-12-1981,0,
31-12-1982,0,
31-12-1983,97.4,
31-12-1984,0,
31-12-1985,0,
31-12-1986,0,
31-12-1987,96.7,
31-12-1988,0,
31-12-1989,0,
31-12-1990,0,
31-12-1991,0,
31-12-1992,0,
31-12-1993,96.7,
31-12-1994,0,
31-12-1995,0,
31-12-1996,0,
31-12-1997,0,
31-12-1998,0,
31-12-1999,0,
31-12-2000,0,
31-12-2001,0,
31-12-2002,0,
31-12-2003,0,
31-12-2004,94.8,
31-12-2005,0,
31-12-2006,0,
31-12-2007,0,
31-12-2008,0,
31-12-2009,93.4,
31-12-2010,0,
31-12-2011,90.3,
31-12-2012,0,
31-12-2013,0,
31-12-2014,0,
31-12-2015,88.9,
31-12-2016,88.7,
31-12-2017,85.4,
31-12-2018,82.7,
31-12-2019,80.7,
31-12-2020,83,
31-12-2021,81.8,
31-12-2022,0,
